date,state,district,pincode,bio_age_5_17,bio_age_17_
28-05-2025,WESTBENGAL,HOOGHLY,712232,0,1
01-07-2025,WESTBENGAL,HOOGHLY,712233,0,1
17-07-2025,WESTBENGAL,HOOGHLY,712233,0,1
11-12-2025,WESTBENGAL,HOOGHLY,712305,0,1
14-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
18-11-2025,WESTBENGAL,HOOGHLY,712305,0,1
03-11-2025,WESTBENGAL,HOOGHLY,712305,0,2
13-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
14-11-2025,WESTBENGAL,HOOGHLY,712305,0,1
19-09-2025,WESTBENGAL,HOOGHLY,712232,0,1
23-10-2025,WESTBENGAL,HOOGHLY,712305,0,1
04-09-2025,WESTBENGAL,HOOGHLY,712232,0,1
05-07-2025,WESTBENGAL,HOOGHLY,712305,1,1
18-08-2025,WESTBENGAL,HOOGHLY,712258,0,1
04-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
27-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
09-10-2025,WESTBENGAL,HOOGHLY,712233,0,1
03-12-2025,WESTBENGAL,HOOGHLY,712233,1,0
05-12-2025,WESTBENGAL,HOOGHLY,712305,1,0
13-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
23-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
20-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
21-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
14-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
31-10-2025,WESTBENGAL,HOOGHLY,712232,1,0
01-11-2025,WESTBENGAL,HOOGHLY,712233,0,2
28-10-2025,WESTBENGAL,HOOGHLY,712305,0,1
27-10-2025,WESTBENGAL,HOOGHLY,712305,0,1
11-10-2025,WESTBENGAL,HOOGHLY,712233,0,1
03-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
24-09-2025,WESTBENGAL,HOOGHLY,712232,0,1
15-10-2025,WESTBENGAL,HOOGHLY,712233,0,1
26-07-2025,WESTBENGAL,HOOGHLY,712233,1,0
25-07-2025,WESTBENGAL,HOOGHLY,712232,0,1
14-12-2025,WESTBENGAL,HOOGHLY,712305,0,1
16-12-2025,WESTBENGAL,HOOGHLY,712305,0,1
28-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
07-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
13-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
18-09-2025,WESTBENGAL,HOOGHLY,712233,0,1
13-08-2025,WESTBENGAL,HOOGHLY,712232,0,1
01-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
01-09-2025,WESTBENGAL,HOOGHLY,712305,0,1
19-08-2025,WESTBENGAL,HOOGHLY,712232,0,1
25-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
23-09-2025,WESTBENGAL,HOOGHLY,712305,0,1
03-10-2025,WESTBENGAL,HOOGHLY,712232,0,1
03-09-2025,WESTBENGAL,HOOGHLY,712232,0,1
10-09-2025,WESTBENGAL,HOOGHLY,712232,0,2
09-10-2025,WESTBENGAL,HOOGHLY,712232,0,3
16-07-2025,WESTBENGAL,HOOGHLY,712305,0,1
17-06-2025,WESTBENGAL,HOOGHLY,712232,0,1
08-07-2025,WESTBENGAL,HOOGHLY,712233,1,0
29-11-2025,WESTBENGAL,HOOGHLY,712232,1,0
13-12-2025,WESTBENGAL,HOOGHLY,712232,0,3
10-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
29-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
19-11-2025,WESTBENGAL,HOOGHLY,712258,0,1
15-09-2025,WESTBENGAL,HOOGHLY,712233,0,2
09-08-2025,WESTBENGAL,HOOGHLY,712233,0,1
06-08-2025,WESTBENGAL,HOOGHLY,712233,0,1
11-06-2025,WESTBENGAL,HOOGHLY,712233,0,1
09-06-2025,WESTBENGAL,HOOGHLY,712233,0,1
22-05-2025,WESTBENGAL,HOOGHLY,712232,1,0
26-05-2025,WESTBENGAL,HOOGHLY,712233,0,1
04-07-2025,WESTBENGAL,HOOGHLY,712232,0,1
16-07-2025,WESTBENGAL,HOOGHLY,712232,0,1
20-09-2025,WESTBENGAL,HOOGHLY,712305,0,1
09-11-2025,WESTBENGAL,HOOGHLY,712305,1,0
23-10-2025,WESTBENGAL,HOOGHLY,712232,0,1
12-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
11-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
18-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
14-08-2025,WESTBENGAL,HOOGHLY,712232,0,1
01-12-2025,WESTBENGAL,HOOGHLY,712232,1,0
16-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
17-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
10-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
28-10-2025,WESTBENGAL,HOOGHLY,712232,1,0
02-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
07-07-2025,WESTBENGAL,HOOGHLY,712233,0,2
12-06-2025,WESTBENGAL,HOOGHLY,712305,0,1
25-06-2025,WESTBENGAL,HOOGHLY,712232,0,1
25-06-2025,WESTBENGAL,HOOGHLY,712305,0,1
24-05-2025,WESTBENGAL,HOOGHLY,712233,0,1
02-08-2025,WESTBENGAL,HOOGHLY,712232,0,1
30-10-2025,WESTBENGAL,HOOGHLY,712232,0,1
02-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
29-08-2025,WESTBENGAL,HOOGHLY,712233,0,1
25-08-2025,WESTBENGAL,HOOGHLY,712232,0,1
28-08-2025,WESTBENGAL,HOOGHLY,712232,0,2
28-08-2025,WESTBENGAL,HOOGHLY,712305,0,1
